金沙水庫	43.47	33.4	2026-01-09
后沃水庫	-1.0	29.03	2026-01-09
石門水庫	20526.0	20414.94	2026-01-10
西勢水庫	39.6	35.51	2026-01-10
新山水庫	995.96	723.66	2026-01-10
翡翠水庫	36997.6	35148.85	2026-01-10
寶山水庫	500.83	278.63	2026-01-10
寶山第二水庫	3379.78	2506.81	2026-01-10
永和山水庫	2993.43	2294.22	2026-01-10
大埔水庫	529.9	-1.0	2026-01-10
明德水庫	1242.28	801.53	2026-01-10
鯉魚潭水庫	11584.35	8134.77	2026-01-10
德基水庫	18432.88	17582.17	2026-01-10
石岡壩	120.21	27.3	2026-01-10
霧社水庫	2572.22	2103.97	2026-01-10
日月潭水庫	12846.14	11048.3	2026-01-10
湖山水庫	5041.0	3063.91	2026-01-10
仁義潭水庫	2459.19	1245.65	2026-01-10
蘭潭水庫	919.7	537.51	2026-01-10
烏山頭水庫	7737.94	3972.0	2026-01-10
曾文水庫	49181.0	36950.0	2026-01-10
南化水庫	8522.63	5515.91	2026-01-10
鏡面水庫	96.57	77.18	2026-01-10
阿公店水庫	1467.92	1215.0	2026-01-10
牡丹水庫	2622.08	2355.0	2026-01-10
成功水庫	121.0	109.03	2026-01-10
興仁水庫	74.0	34.35	2026-01-10
太湖水庫	148.08	128.99	2026-01-10
田埔水庫	48.62	37.44	2026-01-10
金沙水庫	43.47	33.4	2026-01-10
后沃水庫	41.63	29.11	2026-01-08
白河水庫	1404.16	412.0	2026-01-09
鳳山水庫	-1.0	447.64	2026-01-09
澄清湖水庫	261.36	218.0	2026-01-07
石門水庫	20526.0	20414.94	2026-01-11
西勢水庫	39.6	33.32	2026-01-11
新山水庫	995.96	730.59	2026-01-11
翡翠水庫	36997.6	35094.77	2026-01-11
寶山水庫	500.83	273.82	2026-01-11
寶山第二水庫	3379.78	2492.29	2026-01-11
永和山水庫	2993.43	2280.6	2026-01-11
大埔水庫	529.9	-1.0	2026-01-11
明德水庫	1242.28	800.24	2026-01-11
鯉魚潭水庫	11584.35	8099.19	2026-01-11
德基水庫	18432.88	17586.3	2026-01-11
石岡壩	120.21	29.78	2026-01-11
霧社水庫	2572.22	2118.34	2026-01-11
日月潭水庫	12846.14	11352.34	2026-01-11
湖山水庫	5041.0	3046.26	2026-01-11
仁義潭水庫	2459.19	1237.83	2026-01-11
蘭潭水庫	919.7	532.02	2026-01-11
白河水庫	1404.16	412.0	2026-01-09
烏山頭水庫	7737.94	3886.0	2026-01-11
